product_name,review_title,review_content
Dior Homme Parfum,First impression: Nice leather with some Dior Homme DNA,"When I tried it in the department store I smelled intense iris, recognizing that this parfum edition has some Dior Homme DNA in it. Later I received a sample vial (my 2nd impression, lol) and I started to like it more: It is primarily a leather perfume with iris in second place. The initial phase consists of intense iris, reminiscent of Dior Homme Intense. The leather accord will appear soon after that, and after 1 or 1,5 hours the leather takes the lead. At that point, in my opinion, the iris only serves to add a 'clean' aspect to the leather.

The leather is not one dimensional but an accord with several facets. Leathers can be quite different and I'd describe this one as black leather, it's also smooth and soft. I haven't detected any rose. The woody note is probably there, yep. I haven't smelled any oud. However the leather accord has a nice edible aspect. I quite like this leather smell, maybe it's in my top 5 leather fragrances.

Performance: I get 6,5 h.longevity, probably because I've applied too little from my sample. I get average sillage, or a little less. You should test this for yourself.

Comparisons: Let me compare Dior Homme (Parfum) with another recent release Guerlain L'Homme Idéal. DH Parfum is more mysterious and perhaps 'sexier'. But L'Homme Idéal has equally good quality (or better) and a very appealing smell for a better price. Another black leather I smelled is Bottega Veneta pour Homme. That one is quite mature (30+) whereas DH Parfum is pretty much for everyone who dares to wear a leather fragrance."
Dior Homme Parfum,Not a surprise,"Tone down the iris, almost muting it.

Add a strong leather, but smooth and creamy.

Add some sandalwood.

So is the Dior Homme Parfum.

Differs from Dior Homme because the iris note was rather attenuated - forget the makeup smell.

Also there isnt the sweetness of Dior Homme Intense.

The leather note is the main player here.

While it is an excellent perfume, in my opinion lost a bit of eccentricity of the other versions.

Just as the Fahrenheit Parfum, Dior Homme Parfum lost some of its character - both go to a common place, even above average.

Excellent lasting power (over 10 hours) with good sillage in first hours."
Dior Homme Parfum,why did they discontinued it?,"Unisex, slightly masculine, suitable for the evening but for me it doesn't do any harm even during the day in work contexts. The iris is powdery, rather greasy and very present, supported by a woody, amber and generally sweet base. I can feel it on the skin but it's not overwhelming. The scent is really beautiful, elegant and deep, with good performance. In fact it reminds me of the smell of a woman's bag because of the iris, but I don't mind it. It's comfortable, enveloping, warm, very ""dark"", it's not invasive but it feels good and doesn't bother. When it dries, it leaves a sweet but not cloying scent on the skin. I prefer it to the intense version which for me lacks depth and ""thickness"" and has a base that is too ""generic"" for my tastes. In short, beautiful and worth it. It's a shame they discontinued it; I bought a few bottles and put them aside."
Dior Homme Parfum,The perfect scent for a special occasion,"The perfect scent for a special occasion if you like Iris, leather and wood notes. Managed to get a 100ml bottle for half the price of the official website in a local discounter, but it is really hard to find. All of the notes listed above can be spotted on it. Oud is there, but not as prominent as other scents, it just compliments the whole mix.

Best one in the line 100%. Makeup vibe is still around, but it is so well blended with the leather and the woods that does not give that old lady vibe some get in the Intense. Wild that this can be bought at the same price than other design fragrances. Comparable to niche fragrances.

If you find it, buy it. If you like it, it will be a win win, if not, you can resell at any moment and still earn money.

Edit after 24h: Man this smell is still on my wrist. Eternal longevity is not enough to describe it."
Dior Homme Parfum,Metrosexual,"This is very successful parfum. It is not just because it smells amazing. It also represents a style. Style of an urban metro sexual. He is familiar with suit and tie. He is a confident, dark and elegant.He also has a soft side, a feminine side. He likes iris , nothing wrong liking flowers. Dior is doing something nice here. They are trying to create a style of our time with fashion and parfums.Thats why this is “true” designer parfum . Maybe this style is also fading, getting older.
I am not that guy wears suite and tie. I always struggle to wear this one without a suite . Yet , I really enjoy wearing this because of quality and idea behind it."
Dior Homme Parfum,Iris powerhouse,"I discovered what iris was through the DH intense version. Dusty carrots it reminded me of. I love that, the powderiness made it a great unisex fragrance.
This Parfum version however is less powdery but more tangible and soapy. It supposedly has a leather note but I can’t find that anywhere. Less powdery makes it more masculine in my book.
The stuff lasts for days, even weeks on clothing. I had some of it on my coat and I kept smelling the deliciousness. On skin easily from morning to night.
It’ll be replaced shortly by a new version, one can only hope it’ll be as good as this one!"
Dior Homme Parfum,The Dark Knight,"This was a great conclusion to the line. Where Dior Homme EDT was a gorgeous cocoa powder, with waxy iris and lavender, a sensitive new metrosexual style of fragrance was introduced to the world, and Dior Homme Intense made things just more sensual and night-time appropriate, DHP introduced a rough edge, an oud base, spices and a dark rose to the mix. Its the perfect conclusion to the line, a dark, mysterious boss fragrance that had so much power, and somehow did not lose its elegance in the way.

This was the end of Dior as we know it, sadly, after 2014, we got Sauvage, and the rest after that is not good at all, just Dior losing all creative power, and started copying trends. Oh well, at least we got this."
Dior Homme Parfum,The best niche of designers. Glorious juice.,"I'm going to try to rehearse my experience with the recently acquired Dior Homme Parfum. First of all, I would like to demystify the idea that it is a difficult perfume to use because it is heavy, in my taste it is much more versatile than what it has gained from its reputation, and on the other hand, come on, you have to use what you like when wherever you want and where you..."
Dior Homme Parfum,Beast of a fragrance,"No other way to describe this other than as a beast mode fragrance with a loud and potent opening. A fragrance that resonates confidence and masculinity.

It feels as an almost unending fragrance, with skin scent present event after 20 hours and a shower!
The sillage is strong (3-4ft easily 1-2hours), strong lingering effect several hours afterwards too. It does have this suffocating cloud effect after application, due to its explosive opening, those who are sensitive in that case might find it unbearable. It’s a fragrance you should not over apply, at most 2 sprays is sufficient."
Dior Homme Parfum,Dry and Dusty Leather + vintage DHI,"It opens with the familiar Dior Homme Intense - Iris, with a scent of lipstick and light sweetness, but is dense as machine oil and without any freshness.

A minute later the leather appears and the composition becomes dry, dusty and very slightly animalistic, but it does not lose the smoothness of the iris, which I suppose is helped by the sandalwood.

In the drydown, which is noticeable even after 10 hours, the perfume remains pretty much the same.

In short: This is the original metrosexual DHI (which we all miss dearly) with added dry and dusty leather, making it a much more masculine composition."
Dior Homme Parfum,I smelled this before,"I am a big fan of the DHI and since 2011 I always had a bottle in my drawer, I must admit that this passion for scents started a while ago, but I came across the Dior by chance and fell in love with the smell.

FFW to present times, the DDI is not as powerful and intense as it once was .. and the last bottle bought in 2015 was still having this character, the recent one does not have it anymore.

Therefore, I gave DHP a chance to see how it will be in comparison .. well, it does not dissapoint and it is really the better option from the Dior Homme line, if you like bold and loud scents.

For me, the current DHP smells exactly how I remember DHI of being, 12 years ago .. so not all is lost, we can still get the good stuff, but with another name from the same brand.

I hope you will enjoy my versus below, thank you."
Dior Homme Parfum,One designer to rule them all,"I absolutely adore Dior Homme Parfum. I went for the hype with an open mind and traded a bottle of mine for DHP with a friend. I was in utter awe of the fragrance the moment I sprayed it. I reckon having this tingling sensation on my skin and indeed I have not smelled anything this amazing and captivating even to this day. The beautiful leather, citrusy cacao notes with the iris dancing throughout the scent is a journey nothing short of a wonder. I love it through and through; there is never a dull moment when I wear it. It is a must have or a must sample in case you don't have it. I will definitely and permanently keep DHP in my collection even if it means I have to give all my other fragrances away. DHP is the one fragrance that rules them all, be it niche or designers."
