url,product_name,brand_name,target_gender,image_url,top_notes,middle_notes,base_notes
https://www.fragrantica.com/perfume/Montblanc/Legend-Intense-18861.html,Legend Intense Montblanc,Montblanc,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.18861.jpg,"Pineapple, Bergamot","Red Apple, Cardamom, Pepperwood or Hercules Club, Jasmine","Tonka Bean, White Cedar Extract, Amber, Oakmoss"
https://www.fragrantica.com/perfume/Montblanc/Explorer-52002.html,Explorer Montblanc,Montblanc,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.52002.jpg,"Bergamot, Pink Pepper, Clary Sage","Haitian Vetiver, Leather","Ambroxan, Akigalawood, Indonesian Patchouli Leaf, Cacao Pod"
https://www.fragrantica.com/perfume/Montblanc/Individuel-Tonic-72719.html,Individuel Tonic Montblanc,Montblanc,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.72719.jpg,"Juniper Berries, Rosemary, Cardamom, Pineapple, Bergamot, Coriander, Lavender, Mint, Cinnamon","Geranium, Orange Blossom, Violet, Jasmine","Oakmoss, Musk, Sandalwood, Vetiver, Amber, Patchouli, Raspberry, Vanilla, Dark Chocolate"
https://www.fragrantica.com/perfume/Montblanc/Legend-Blue-90137.html,Legend Blue Montblanc,Montblanc,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.90137.jpg,"Mint, Lavender","Cedar, Sandalwood","Ambroxan, Moss"
https://www.fragrantica.com/perfume/Montblanc/Patchouli-Ink-92399.html,Patchouli Ink Montblanc,Montblanc,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.92399.jpg,Bergamot,Ink,"Patchouli, Vanilla"
https://www.fragrantica.com/perfume/Montblanc/Starwalker-Extreme-71710.html,Starwalker Extreme Montblanc,Montblanc,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.71710.jpg,"Apple, Pineapple, Mandarin Orange, Lemon","Lavender, Sea Notes, Geranium","Tonka Bean, Sandalwood, Patchouli"
https://www.fragrantica.com/perfume/Montblanc/Lady-Emblem-31425.html,Lady Emblem Montblanc,Montblanc,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.31425.jpg,"Sake, Pink Pepper, Pink Grapefruit","Jasmine, Pomegranate","Musk, Sandalwood, Amber"
https://www.fragrantica.com/perfume/Montblanc/Star-Oud-106578.html,Star Oud Montblanc,Montblanc,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.106578.jpg,,"Oud, Amber, Sandalwood, Cinnamon, Cardamom, Woody Notes",
https://www.fragrantica.com/perfume/Montblanc/Vetiver-Glacier-92400.html,Vetiver Glacier Montblanc,Montblanc,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.92400.jpg,Vetiver,Juniper,Sandalwood
https://www.fragrantica.com/perfume/Montblanc/Legend-Spirit-33443.html,Legend Spirit Montblanc,Montblanc,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.33443.jpg,"Grapefruit, Bergamot, Pink Pepper","Water Notes, Lavender, Cardamom","White Musk, White Woods, Cashmere Wood, Oakmoss"
